feeder_id,timestamp,hour_of_day,minute_of_day,day_of_week,is_weekend,slot_of_day,demand_kw,solar_kw,cloud_factor,temperature_c
F01,2026-09-11T00:00:00,0,0,4,0,0,76.14,0.0,0.866,19.65
F01,2026-09-11T00:30:00,0,30,4,0,1,84.27,0.0,0.534,20.34
F01,2026-09-11T01:00:00,1,60,4,0,2,73.52,0.0,0.943,19.27
F01,2026-09-11T01:30:00,1,90,4,0,3,74.4,0.0,0.82,20.92
F01,2026-09-11T02:00:00,2,120,4,0,4,79.61,0.0,0.546,21.32
F01,2026-09-11T02:30:00,2,150,4,0,5,64.19,0.0,0.738,21.04
F01,2026-09-11T03:00:00,3,180,4,0,6,81.35,0.0,0.747,22.61
F01,2026-09-11T03:30:00,3,210,4,0,7,77.97,0.0,0.718,22.85
F01,2026-09-11T04:00:00,4,240,4,0,8,81.96,0.0,0.942,23.86
F01,2026-09-11T04:30:00,4,270,4,0,9,84.13,0.0,0.663,25.46
F01,2026-09-11T05:00:00,5,300,4,0,10,76.14,0.0,0.454,27.09
F01,2026-09-11T05:30:00,5,330,4,0,11,85.72,0.0,0.924,27.81
F01,2026-09-11T06:00:00,6,360,4,0,12,78.6,0.0,0.871,27.82
F01,2026-09-11T06:30:00,6,390,4,0,13,99.09,7.08,0.361,28.69
F01,2026-09-11T07:00:00,7,420,4,0,14,118.18,30.93,0.797,30.41
F01,2026-09-11T07:30:00,7,450,4,0,15,127.68,41.08,0.716,30.71
F01,2026-09-11T08:00:00,8,480,4,0,16,124.97,56.35,0.751,31.2
F01,2026-09-11T08:30:00,8,510,4,0,17,117.76,70.82,0.776,33.68
F01,2026-09-11T09:00:00,9,540,4,0,18,107.43,83.03,0.783,32.74
F01,2026-09-11T09:30:00,9,570,4,0,19,106.19,50.92,0.428,34.13
F01,2026-09-11T10:00:00,10,600,4,0,20,89.36,78.54,0.605,35.28
F01,2026-09-11T10:30:00,10,630,4,0,21,80.19,104.25,0.752,36.26
F01,2026-09-11T11:00:00,11,660,4,0,22,90.36,125.56,0.867,34.99
F01,2026-09-11T11:30:00,11,690,4,0,23,81.22,114.09,0.767,36.08
F01,2026-09-11T12:00:00,12,720,4,0,24,79.61,60.99,0.407,35.85
F01,2026-09-11T12:30:00,12,750,4,0,25,74.91,125.14,0.841,35.27
F01,2026-09-11T13:00:00,13,780,4,0,26,81.04,121.88,0.841,35.32
F01,2026-09-11T13:30:00,13,810,4,0,27,89.2,121.51,0.877,34.64
F01,2026-09-11T14:00:00,14,840,4,0,28,78.85,71.58,0.551,35.0
F01,2026-09-11T14:30:00,14,870,4,0,29,80.89,57.76,0.485,32.77
F01,2026-09-11T15:00:00,15,900,4,0,30,80.91,73.81,0.696,33.89
F01,2026-09-11T15:30:00,15,930,4,0,31,87.06,73.15,0.801,33.4
F01,2026-09-11T16:00:00,16,960,4,0,32,89.0,70.5,0.94,31.89
F01,2026-09-11T16:30:00,16,990,4,0,33,98.37,38.76,0.675,31.45
F01,2026-09-11T17:00:00,17,1020,4,0,34,109.52,24.29,0.626,29.7
F01,2026-09-11T17:30:00,17,1050,4,0,35,119.89,12.89,0.658,29.58
F01,2026-09-11T18:00:00,18,1080,4,0,36,137.14,0.0,0.959,28.44
F01,2026-09-11T18:30:00,18,1110,4,0,37,145.49,0.0,0.92,26.15
F01,2026-09-11T19:00:00,19,1140,4,0,38,159.32,0.0,0.488,25.14
F01,2026-09-11T19:30:00,19,1170,4,0,39,148.7,0.0,0.901,23.32
F01,2026-09-11T20:00:00,20,1200,4,0,40,132.47,0.0,0.447,23.86
F01,2026-09-11T20:30:00,20,1230,4,0,41,122.14,0.0,0.728,24.16
F01,2026-09-11T21:00:00,21,1260,4,0,42,109.76,0.0,0.725,21.89
F01,2026-09-11T21:30:00,21,1290,4,0,43,93.8,0.0,0.78,21.45
F01,2026-09-11T22:00:00,22,1320,4,0,44,86.16,0.0,0.658,20.4
F01,2026-09-11T22:30:00,22,1350,4,0,45,77.91,0.0,0.917,21.66
F01,2026-09-11T23:00:00,23,1380,4,0,46,84.98,0.0,0.808,20.09
F01,2026-09-11T23:30:00,23,1410,4,0,47,84.37,0.0,0.892,21.55
F01,2026-09-12T00:00:00,0,0,5,1,0,80.93,0.0,0.815,20.84
F01,2026-09-12T00:30:00,0,30,5,1,1,76.75,0.0,0.896,20.24
F01,2026-09-12T01:00:00,1,60,5,1,2,90.62,0.0,0.588,18.77
F01,2026-09-12T01:30:00,1,90,5,1,3,79.36,0.0,0.683,20.54
F01,2026-09-12T02:00:00,2,120,5,1,4,85.78,0.0,0.62,20.49
F01,2026-09-12T02:30:00,2,150,5,1,5,84.05,0.0,0.693,20.43
F01,2026-09-12T03:00:00,3,180,5,1,6,79.44,0.0,0.949,21.13
F01,2026-09-12T03:30:00,3,210,5,1,7,76.14,0.0,0.862,24.33
F01,2026-09-12T04:00:00,4,240,5,1,8,81.06,0.0,0.954,25.01
F01,2026-09-12T04:30:00,4,270,5,1,9,73.11,0.0,0.754,25.82
F01,2026-09-12T05:00:00,5,300,5,1,10,86.33,0.0,0.85,28.3
F01,2026-09-12T05:30:00,5,330,5,1,11,81.17,0.0,0.777,27.37
F01,2026-09-12T06:00:00,6,360,5,1,12,89.79,0.0,0.818,29.93
F01,2026-09-12T06:30:00,6,390,5,1,13,90.75,18.34,0.937,29.66
F01,2026-09-12T07:00:00,7,420,5,1,14,110.77,30.36,0.782,30.76
F01,2026-09-12T07:30:00,7,450,5,1,15,129.19,47.94,0.835,30.69
F01,2026-09-12T08:00:00,8,480,5,1,16,128.84,45.77,0.61,32.88
F01,2026-09-12T08:30:00,8,510,5,1,17,131.65,67.63,0.741,32.62
F01,2026-09-12T09:00:00,9,540,5,1,18,103.19,99.91,0.942,33.78
F01,2026-09-12T09:30:00,9,570,5,1,19,96.27,67.64,0.568,35.4
F01,2026-09-12T10:00:00,10,600,5,1,20,85.54,66.83,0.514,35.24
F01,2026-09-12T10:30:00,10,630,5,1,21,80.22,86.7,0.626,33.65
F01,2026-09-12T11:00:00,11,660,5,1,22,87.48,127.1,0.877,36.91
F01,2026-09-12T11:30:00,11,690,5,1,23,71.25,104.51,0.703,36.94
F01,2026-09-12T12:00:00,12,720,5,1,24,80.04,122.4,0.816,35.96
F01,2026-09-12T12:30:00,12,750,5,1,25,85.26,134.1,0.902,35.67
F01,2026-09-12T13:00:00,13,780,5,1,26,76.28,134.46,0.928,36.24
F01,2026-09-12T13:30:00,13,810,5,1,27,74.03,121.21,0.875,37.04
F01,2026-09-12T14:00:00,14,840,5,1,28,73.51,112.68,0.867,34.3
F01,2026-09-12T14:30:00,14,870,5,1,29,76.79,77.33,0.65,34.76
F01,2026-09-12T15:00:00,15,900,5,1,30,90.45,96.5,0.91,33.77
F01,2026-09-12T15:30:00,15,930,5,1,31,78.6,75.02,0.822,31.58
F01,2026-09-12T16:00:00,16,960,5,1,32,90.74,37.53,0.5,32.94
F01,2026-09-12T16:30:00,16,990,5,1,33,88.21,54.86,0.956,30.87
F01,2026-09-12T17:00:00,17,1020,5,1,34,116.43,35.25,0.908,27.5
F01,2026-09-12T17:30:00,17,1050,5,1,35,120.82,15.87,0.811,28.1
F01,2026-09-12T18:00:00,18,1080,5,1,36,134.78,0.0,0.786,28.23
F01,2026-09-12T18:30:00,18,1110,5,1,37,139.73,0.0,0.32,27.31
F01,2026-09-12T19:00:00,19,1140,5,1,38,148.36,0.0,0.709,25.52
F01,2026-09-12T19:30:00,19,1170,5,1,39,142.14,0.0,0.898,24.27
F01,2026-09-12T20:00:00,20,1200,5,1,40,134.07,0.0,0.362,24.62
F01,2026-09-12T20:30:00,20,1230,5,1,41,117.05,0.0,0.732,23.77
F01,2026-09-12T21:00:00,21,1260,5,1,42,105.89,0.0,0.756,22.38
F01,2026-09-12T21:30:00,21,1290,5,1,43,97.85,0.0,0.758,22.9
F01,2026-09-12T22:00:00,22,1320,5,1,44,88.64,0.0,0.591,21.78
F01,2026-09-12T22:30:00,22,1350,5,1,45,81.09,0.0,0.827,22.21
F01,2026-09-12T23:00:00,23,1380,5,1,46,84.6,0.0,0.457,20.04
F01,2026-09-12T23:30:00,23,1410,5,1,47,86.13,0.0,0.782,19.63
F01,2026-09-13T00:00:00,0,0,6,1,0,69.43,0.0,0.802,21.06
F01,2026-09-13T00:30:00,0,30,6,1,1,75.4,0.0,0.929,19.39
F01,2026-09-13T01:00:00,1,60,6,1,2,82.54,0.0,0.529,21.29
F01,2026-09-13T01:30:00,1,90,6,1,3,92.8,0.0,0.864,20.01
F01,2026-09-13T02:00:00,2,120,6,1,4,82.83,0.0,0.656,20.11
F01,2026-09-13T02:30:00,2,150,6,1,5,75.3,0.0,0.991,22.06
F01,2026-09-13T03:00:00,3,180,6,1,6,83.36,0.0,0.424,22.89
F01,2026-09-13T03:30:00,3,210,6,1,7,75.19,0.0,0.814,23.13
F01,2026-09-13T04:00:00,4,240,6,1,8,83.51,0.0,0.815,22.86
F01,2026-09-13T04:30:00,4,270,6,1,9,80.67,0.0,0.609,25.09
F01,2026-09-13T05:00:00,5,300,6,1,10,77.22,0.0,0.654,25.36
F01,2026-09-13T05:30:00,5,330,6,1,11,83.58,0.0,0.797,27.27
F01,2026-09-13T06:00:00,6,360,6,1,12,92.91,0.0,0.959,28.06
F01,2026-09-13T06:30:00,6,390,6,1,13,92.33,15.3,0.781,30.12
F01,2026-09-13T07:00:00,7,420,6,1,14,111.85,34.16,0.88,30.17
F01,2026-09-13T07:30:00,7,450,6,1,15,123.14,48.58,0.846,31.45
F01,2026-09-13T08:00:00,8,480,6,1,16,138.7,57.58,0.768,32.04
F01,2026-09-13T08:30:00,8,510,6,1,17,123.57,52.98,0.58,31.96
F01,2026-09-13T09:00:00,9,540,6,1,18,106.7,91.76,0.865,35.9
F01,2026-09-13T09:30:00,9,570,6,1,19,94.89,106.18,0.892,33.35
F01,2026-09-13T10:00:00,10,600,6,1,20,85.58,74.69,0.575,35.07
F01,2026-09-13T10:30:00,10,630,6,1,21,77.03,118.74,0.857,36.69
F01,2026-09-13T11:00:00,11,660,6,1,22,78.63,86.87,0.6,35.55
F01,2026-09-13T11:30:00,11,690,6,1,23,82.42,122.31,0.822,34.42
F01,2026-09-13T12:00:00,12,720,6,1,24,70.99,124.68,0.831,36.48
F01,2026-09-13T12:30:00,12,750,6,1,25,88.01,67.84,0.456,34.01
F01,2026-09-13T13:00:00,13,780,6,1,26,82.55,123.99,0.856,38.34
F01,2026-09-13T13:30:00,13,810,6,1,27,77.27,97.3,0.702,37.94
F01,2026-09-13T14:00:00,14,840,6,1,28,80.87,85.28,0.657,35.25
F01,2026-09-13T14:30:00,14,870,6,1,29,88.15,62.82,0.528,33.32
F01,2026-09-13T15:00:00,15,900,6,1,30,86.88,75.94,0.716,34.64
F01,2026-09-13T15:30:00,15,930,6,1,31,87.88,85.57,0.937,32.25
F01,2026-09-13T16:00:00,16,960,6,1,32,86.74,37.02,0.494,31.72
F01,2026-09-13T16:30:00,16,990,6,1,33,106.67,22.77,0.397,32.25
F01,2026-09-13T17:00:00,17,1020,6,1,34,103.9,27.56,0.71,30.52
F01,2026-09-13T17:30:00,17,1050,6,1,35,126.93,14.26,0.728,29.32
F01,2026-09-13T18:00:00,18,1080,6,1,36,139.61,0.0,0.918,30.06
F01,2026-09-13T18:30:00,18,1110,6,1,37,141.46,0.0,0.902,28.71
F01,2026-09-13T19:00:00,19,1140,6,1,38,144.66,0.0,0.352,26.12
F01,2026-09-13T19:30:00,19,1170,6,1,39,135.57,0.0,0.566,23.79
F01,2026-09-13T20:00:00,20,1200,6,1,40,136.59,0.0,0.679,23.92
F01,2026-09-13T20:30:00,20,1230,6,1,41,120.28,0.0,0.765,23.08
F01,2026-09-13T21:00:00,21,1260,6,1,42,123.29,0.0,0.817,23.01
F01,2026-09-13T21:30:00,21,1290,6,1,43,93.95,0.0,0.892,21.21
F01,2026-09-13T22:00:00,22,1320,6,1,44,87.81,0.0,0.879,20.28
F01,2026-09-13T22:30:00,22,1350,6,1,45,85.67,0.0,0.646,20.49
F01,2026-09-13T23:00:00,23,1380,6,1,46,81.22,0.0,0.531,20.55
F01,2026-09-13T23:30:00,23,1410,6,1,47,73.51,0.0,0.74,20.68
F01,2026-09-14T00:00:00,0,0,0,0,0,80.3,0.0,0.74,19.7
F01,2026-09-14T00:30:00,0,30,0,0,1,74.66,0.0,0.952,19.57
F01,2026-09-14T01:00:00,1,60,0,0,2,79.7,0.0,0.845,21.25
F01,2026-09-14T01:30:00,1,90,0,0,3,77.42,0.0,0.691,19.77
F01,2026-09-14T02:00:00,2,120,0,0,4,79.47,0.0,0.844,19.38
F01,2026-09-14T02:30:00,2,150,0,0,5,79.76,0.0,0.451,21.4
F01,2026-09-14T03:00:00,3,180,0,0,6,92.56,0.0,0.667,22.18
F01,2026-09-14T03:30:00,3,210,0,0,7,79.39,0.0,0.828,23.19
F01,2026-09-14T04:00:00,4,240,0,0,8,77.2,0.0,0.781,24.48
F01,2026-09-14T04:30:00,4,270,0,0,9,78.45,0.0,0.77,24.42
F01,2026-09-14T05:00:00,5,300,0,0,10,76.69,0.0,0.724,24.46
F01,2026-09-14T05:30:00,5,330,0,0,11,84.89,0.0,0.536,28.61
F01,2026-09-14T06:00:00,6,360,0,0,12,88.14,0.0,0.758,27.39
F01,2026-09-14T06:30:00,6,390,0,0,13,106.13,9.73,0.497,29.96
F01,2026-09-14T07:00:00,7,420,0,0,14,103.94,27.82,0.717,29.51
F01,2026-09-14T07:30:00,7,450,0,0,15,129.57,55.87,0.973,31.14
F01,2026-09-14T08:00:00,8,480,0,0,16,131.79,59.18,0.789,30.25
F01,2026-09-14T08:30:00,8,510,0,0,17,124.75,46.1,0.505,35.91
F01,2026-09-14T09:00:00,9,540,0,0,18,104.1,82.57,0.778,34.06
F01,2026-09-14T09:30:00,9,570,0,0,19,95.58,104.64,0.879,35.79
F01,2026-09-14T10:00:00,10,600,0,0,20,87.77,95.15,0.732,35.25
F01,2026-09-14T10:30:00,10,630,0,0,21,82.1,125.29,0.904,35.74
F01,2026-09-14T11:00:00,11,660,0,0,22,82.76,57.97,0.4,35.42
F01,2026-09-14T11:30:00,11,690,0,0,23,83.89,115.14,0.774,37.24
F01,2026-09-14T12:00:00,12,720,0,0,24,80.76,131.45,0.876,35.77
F01,2026-09-14T12:30:00,12,750,0,0,25,71.08,67.64,0.455,35.44
F01,2026-09-14T13:00:00,13,780,0,0,26,87.23,111.37,0.769,36.73
F01,2026-09-14T13:30:00,13,810,0,0,27,76.51,41.1,0.297,36.31
F01,2026-09-14T14:00:00,14,840,0,0,28,83.68,84.1,0.647,32.55
F01,2026-09-14T14:30:00,14,870,0,0,29,68.83,113.47,0.954,34.42
F01,2026-09-14T15:00:00,15,900,0,0,30,87.59,61.25,0.577,35.1
F01,2026-09-14T15:30:00,15,930,0,0,31,83.66,67.57,0.74,33.51
F01,2026-09-14T16:00:00,16,960,0,0,32,85.24,61.67,0.822,32.75
F01,2026-09-14T16:30:00,16,990,0,0,33,99.91,39.32,0.685,31.18
F01,2026-09-14T17:00:00,17,1020,0,0,34,106.25,31.29,0.806,30.39
F01,2026-09-14T17:30:00,17,1050,0,0,35,120.07,8.23,0.42,28.02
F01,2026-09-14T18:00:00,18,1080,0,0,36,139.31,0.0,0.674,28.2
F01,2026-09-14T18:30:00,18,1110,0,0,37,143.47,0.0,0.886,26.06
F01,2026-09-14T19:00:00,19,1140,0,0,38,153.38,0.0,0.955,27.13
F01,2026-09-14T19:30:00,19,1170,0,0,39,151.02,0.0,0.939,25.33
F01,2026-09-14T20:00:00,20,1200,0,0,40,129.22,0.0,0.974,24.35
F01,2026-09-14T20:30:00,20,1230,0,0,41,127.21,0.0,0.95,23.17
F01,2026-09-14T21:00:00,21,1260,0,0,42,116.5,0.0,0.613,21.01
F01,2026-09-14T21:30:00,21,1290,0,0,43,98.63,0.0,0.718,22.49
F01,2026-09-14T22:00:00,22,1320,0,0,44,84.14,0.0,0.415,20.49
F01,2026-09-14T22:30:00,22,1350,0,0,45,88.49,0.0,0.887,20.83
